,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
62,Blake Farmer,"""Joe Biden and the New Left even promote surgery on teens and young adults, removing breasts and genitals.""",America First Legal,"November 8, 2022",false,FAKE,0
63,Michael Majchrowicz,A German survey ranked Kyrie Irving as the “greatest threat to world peace” among world leaders.,Viral image,"November 8, 2022",pants-fire,FAKE,0
64,Paul Specht,"“Ted Budd voted to cut Medicare and Social Security and voted to raise the retirement age, too.”",Senate Majority PAC,"November 7, 2022",half-true,FAKE,0
65,Tom Kertscher,"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",Liquid Death,"November 7, 2022",true,REAL,1
66,Yacob Reyes,"Sen. Marco Rubio ""helped write the law to raise prescription prices.""",Val Demings,"November 7, 2022",mostly-true,FAKE,0
67,Michael Majchrowicz,“DISGRUNTLED EX-EMPLOYEE? Twitter CEO Elon Musk's account is presently suspended.”,Instagram posts,"November 7, 2022",pants-fire,FAKE,0
68,Kristin Hugo,“There are no greenhouse gas emissions in this photo” of cows grazing.,Instagram posts,"November 7, 2022",false,FAKE,0
69,Gabrielle Settles,California’s Proposition 1 includes “a right to abortion up-to-birth.”,Instagram posts,"November 7, 2022",barely-true,FAKE,0
70,Michael Majchrowicz,"“So the Pennsylvania Supreme Court just ruled, in effect, that the 2020 presidential election was rigged.”",Donald Trump,"November 7, 2022",pants-fire,FAKE,0
71,Andy Nguyen,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",Tucker Carlson,"November 7, 2022",false,FAKE,0
72,Jill Terreri,"The state is absorbing the cost of overtime pay for farmworkers, and farm owners do not have to pay any more.",Kathy Hochul,"• November 5,",mostly-true,FAKE,0
73,Tom Kertscher,"“Kamala Harris said disaster aid should go to non-white citizens first.""",America First Legal,"November 5, 2022",false,FAKE,0
74,Ciara O'Rourke,The attack on Paul Pelosi was a “false flag.”,Instagram posts,"November 5, 2022",pants-fire,FAKE,0
75,Michael Majchrowicz,"Photo shows Stanford scientists' ""3D model of how Joseph, the husband of Mary the Mother of Jesus Christ, might have looked.”",Instagram posts,"November 4, 2022",false,FAKE,0
76,Jami Martin-Trainor,"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”",Ashley Hinson,"November 4, 2022",true,REAL,1
77,Michael Majchrowicz,"Speaker Nancy Pelosi held a T-shirt that reads, “I’m proud of my gay husband.”",Viral image,"November 4, 2022",pants-fire,FAKE,0
78,Ciara O'Rourke,Brazil’s presidential election was “stolen.”,Instagram posts,"November 4, 2022",false,FAKE,0
79,Amy Sherman,Former President Jimmy Carter said “don’t ever use” mail in ballots because “they can be so easily corrupted.”,Donald Trump,"November 4, 2022",false,FAKE,0
80,Louis Jacobson,The U.S. “could easily count every vote in every state on election night until a few years ago.”,Instagram posts,"November 4, 2022",barely-true,FAKE,0
81,Ciara O'Rourke,“Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.”,Instagram posts,"November 4, 2022",pants-fire,FAKE,0
82,Ciara O'Rourke,The FBI took over the investigation into the attack on Paul Pelosi because San Francisco authorities weren’t sticking to Nancy Pelosi’s talking points.,Viral image,"November 4, 2022",false,FAKE,0
83,Luiz Romero,"Brazil President Jair Bolsonaro will hold a press conference to “announce military audit of controversial election, may arrest criminal judges.”",Instagram posts,"November 4, 2022",false,FAKE,0
84,Chad Bradley,David Schweikert has “been convicted of 11 House ethics violations.”,Jevin Hodge,"November 4, 2022",true,REAL,1
85,Warren Fiske,They were “never my comments” that a woman can’t get pregnant from rape.,Yesli Vega,"November 4, 2022",half-true,FAKE,0
86,Amy Sherman,“Two thirds of eligible voters don’t vote.”,Instagram posts,"November 4, 2022",false,FAKE,0
87,Madeline Heim,"Tony Evers “wants to let out between 9,000 and 10,000 more” Wisconsin prisoners",Tim Michels,"November 4, 2022",false,FAKE,0
88,Amy Sherman,“Pennsylvania is under a court order to count their ballots on election day and not after!!”,Facebook posts,"November 3, 2022",pants-fire,FAKE,0
89,Maria Ramirez,“Biden and Democrats have dismantled border security.”,Adam Laxalt,"• November 3,",false,FAKE,0
90,Alexis Waiss,Katie Hobbs “has voted to double our gas tax.”,Kari Lake,"November 3, 2022",mostly-true,FAKE,0
91,Ciara O'Rourke,Reuters reported that Nancy Pelosi bought 10 million shares of cannabis stock.,Viral image,"November 3, 2022",false,FAKE,0
92,Yacob Reyes,"It's not true that ""the United States was built on stolen land.""",Ron DeSantis,"November 3, 2022",pants-fire,FAKE,0
93,Ciara O'Rourke,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,Viral image,"November 3, 2022",false,FAKE,0
94,Michael Majchrowicz,“Freedom of Information Act requests show a dozen phone calls between the cell phone of Ray Epps and the office of Speaker Pelosi in the week before #January6th”,Instagram posts,"November 3, 2022",false,FAKE,0
95,Amy Sherman,"""Over 240,000 'unverified' ballots have already been sent out in Pennsylvania, a total mess. The Democrats are playing games again.”",Donald Trump,"November 3, 2022",false,FAKE,0
96,Michael Majchrowicz,"Australian officials “are giving cows mRNA vaccines.""",Instagram posts,"November 3, 2022",false,FAKE,0
97,Michael Majchrowicz,Thunderous crowd at Philadelphia Phillies game “literally registering on the Penn State University Brandywine seismograph station.”,Tweets,"November 3, 2022",pants-fire,FAKE,0
98,Ciara O'Rourke,CNN reported Donald Trump died on Nov. 1.,Viral image,"November 3, 2022",pants-fire,FAKE,0
99,Jon Greenberg,“J.D. Vance said nothing about” the attack on Paul Pelosi.,Tim Ryan,"November 3, 2022",false,FAKE,0
100,Louis Jacobson,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",Citizens for Sanity,"November 3, 2022",pants-fire,FAKE,0
101,D.L. Davis,"Says ""Ron Johnson is making excuses for rioters who tried to overthrow our government, even calling them ‘peaceful protests.’”",Senate Majority PAC,"November 3, 2022",mostly-true,FAKE,0
102,Ciara O'Rourke,“Smithsonian admits to destruction of thousands of giant human skeletons in early 1900s.”,Viral image,"November 3, 2022",pants-fire,FAKE,0
103,Ciara O'Rourke,“Leaked audio tape of the 911 call from the Paul Pelosi attack has surfaced. The call proves that the liberal media has lied about what really happened.”,Viral image,"November 3, 2022",false,FAKE,0
104,Tom Kertscher,"""Raphael Warnock and Stacey Abrams are radical communists and, if they get their way, gun owners here in Georgia will be completely disarmed.""",Georgia Gun Owners,"November 3, 2022",pants-fire,FAKE,0
105,Sydney Carruth,“We have seen over the last 10 years ... under Republican governors a rise in the murder rate in Arizona of 20%.”,Kris Mayes,"November 2, 2022",barely-true,FAKE,0
106,Alexis Waiss,"Abraham Hamadeh says he will “lock up doctors, nurses, pharmacists” and “punish women for abortion.”",Kris Mayes,"November 2, 2022",half-true,FAKE,0
107,Haley Tenore,"Said Katie Hobbs “fought to” “prevent students from learning (about) the Pledge of Allegiance, Constitution, Mayflower Compact and Declaration of Independence.”",Kari Lake,"November 2, 2022",false,FAKE,0
108,Michael Majchrowicz,Julie Powell died from the COVID-19 vaccine.,Instagram posts,"November 2, 2022",false,FAKE,0
109,Louis Jacobson,"""On my watch, for the first time in 10 years, seniors are getting an increase in their Social Security checks.""",Joe Biden,"November 2, 2022",pants-fire,FAKE,0
110,Andy Nguyen,"""PayPal has reinstated its policy to fine users $2,500 directly from their accounts if they spread 'misinformation.'""",Instagram posts,"November 2, 2022",false,FAKE,0
111,Ciara O'Rourke,“Two far-right websites attributed to David DePape to smear conservatives were fabricated — they were created Friday.”,Viral image,"November 2, 2022",pants-fire,FAKE,0
112,Ciara O'Rourke,Bill Gates’ daughters aren’t vaccinated.,Viral image,"November 2, 2022",pants-fire,FAKE,0
113,Ciara O'Rourke,"David DePape “stripped down to his underwear, grabbed a hammer, and jogged all the way to Nancy Pelosi’s house.”",Viral image,"November 2, 2022",false,FAKE,0
114,Ciara O'Rourke,House Speaker Nancy Pelosi “doesn’t even have surveillance cameras around her house.”,Viral image,"November 2, 2022",pants-fire,FAKE,0
115,Dave Boucher,"If Proposal 3 passes, it would allow children to undergo ""gender-change therapy without parental consent""",Citizens to Support MI Women & Children,"November 2, 2022",false,FAKE,0
116,Gabrielle Settles,"At the Pelosi house, “the glass it seems was broken from the inside to the out, so it wasn’t a break-in, it was a break out.”",Donald Trump,"November 2, 2022",pants-fire,FAKE,0
117,Warren Fiske,“I don’t get involved in the hiring and firing of police chiefs.”,Levar Stoney,"November 2, 2022",false,FAKE,0
118,Maria Ramirez,“Marco Rubio le ha votado en contra a los Dreamers”.,Florida Immigrant Coalition,"• November 1,",half-true,FAKE,0
119,Amy Sherman,“One in six local election officials have received threats of violence” and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.,Amy Klobuchar,"November 1, 2022",mostly-true,FAKE,0
120,Ciara O'Rourke,Police dispatch audio from Paul Pelosi’s attack was recorded in a Moscow studio.,Instagram posts,"November 1, 2022",pants-fire,FAKE,0
121,Tom Kertscher,"Kari Lake and Mark Finchem “have said that they will only honor the results of an election if they agree with it.""",Liz Cheney,"November 1, 2022",mostly-true,FAKE,0
122,Ciara O'Rourke,"Security cameras at Nancy Pelosi’s San Francisco home malfunctioned “for the duration of the break-in, so officials have ended their investigation.”",Viral image,"November 1, 2022",pants-fire,FAKE,0
123,Michael Majchrowicz,"“If outer space was a vacuum, astronauts would train in vacuum chambers. Not in swimming pools. Outer Space is a hoax.”",Instagram posts,"November 1, 2022",pants-fire,FAKE,0
124,Lawrence Andrea,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,Ron Johnson,"November 1, 2022",barely-true,FAKE,0
125,Tom Kertscher,"""Don Bolduc wants to cut trillions from Medicare and end Social Security.""",Maggie Hassan,"November 1, 2022",mostly-true,FAKE,0
126,Sara Swann,Document shows Rebekah Jones “demonstrated” a violation of Florida’s Whistleblower Act.,Rebekah Jones,"November 1, 2022",false,FAKE,0
127,Andy Nguyen,"“If you use the US Postal Service certified mail or registered mail, they can do anything they want with those ballots."" They “can burn your mail and they won't get in any trouble.”",Instagram posts,"October 31, 2022",pants-fire,FAKE,0
128,Ciara O'Rourke,A photo shows David DePape filming the Jan. 6 Capitol attack.,Viral image,"October 31, 2022",false,FAKE,0
129,Michael Majchrowicz,"California state Sen. Scott Wiener “doesn’t just want to sterilize California kids, but sterilization of kids everywhere!”",Instagram posts,"October 31, 2022",false,FAKE,0
130,Ciara O'Rourke,Hecklers chanted “f--- Joe Biden” during a Barack Obama speech.,Viral image,"October 31, 2022",false,FAKE,0
131,Ciara O'Rourke,The Pelosis “are refusing to turn over surveillance video of their home.”,Viral image,"October 31, 2022",false,FAKE,0
132,Gabrielle Settles,"Video shows Marjorie Taylor Greene planted pipe bombs at Republican and Democratic party headquarters on Jan. 5, 2021.",Instagram posts,"October 31, 2022",false,FAKE,0
133,Ciara O'Rourke,Video shows “military robots ready for war.”,Viral image,"October 31, 2022",false,FAKE,0
134,Louis Jacobson,“All Democrats in the Senate and House voted to cut $280 billion out of Medicare just two months ago.”,Rick Scott,"October 31, 2022",false,FAKE,0
135,Paul Specht,"Cheri Beasley “backs tax hikes — even on families making under $75,000.”",Senate Leadership Fund,"October 31, 2022",barely-true,FAKE,0
136,Liam Halawith,"""Kim Reynolds doesn’t think nurses are educated.""",Deidre DeJear,"October 31, 2022",false,FAKE,0
137,Liam Halawith,"""Deidre DeJear refused to stand for police.""",Kim Reynolds,"October 31, 2022",half-true,FAKE,0
138,Ben Wells,"Says Gov. Tony Evers would, “allow the government to use red flag laws to confiscate your firearms without due process.”",National Rifle Association,"October 31, 2022",barely-true,FAKE,0
139,Amy Sherman,Rep. Tim Ryan “wanted to decriminalize fentanyl.”,J.D. Vance,"October 31, 2022",pants-fire,FAKE,0
140,Madison Czopek,Pennsylvania drop boxes were “pre-loaded” with ballots.,Instagram posts,"October 28, 2022",half-true,FAKE,0
141,Gabrielle Settles,"Arizona Secretary of State Katie Hobbs “sent 6,000 wrong ballots to Republicans.”",Instagram posts,"October 28, 2022",false,FAKE,0
142,Andy Nguyen,McDonald's uses potatoes sprayed with a highly toxic pesticide called Monitor.,Instagram posts,"October 28, 2022",false,FAKE,0
143,Ciara O'Rourke,Facebook changed its name because it is a “dead entity” whose assets were seized.,Viral image,"October 28, 2022",false,FAKE,0
144,Renee Romo,“Kids are resistant to COVID as opposed to older people.”,Tom Horne,"October 28, 2022",half-true,FAKE,0
145,Yacob Reyes,"""Crime is up under Governor DeSantis. Crime was down when I was your governor.""",Charlie Crist,"October 28, 2022",barely-true,FAKE,0
146,Louis Jacobson,Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”,Ted Cruz,"October 28, 2022",barely-true,FAKE,0
147,Louis Jacobson,The price of gas is “down from over $5 when I took office.”,Joe Biden,"October 28, 2022",false,FAKE,0
148,Jon Greenberg,Blake Masters “wants to privatize” Social Security.,Mark Kelly,"October 28, 2022",barely-true,FAKE,0
149,Madison Czopek,"“It’s not that there is no evidence the election was stolen, but that no court had the guts to HEAR the evidence. They dismissed the cases, NOT the evidence.”",Instagram posts,"October 28, 2022",false,FAKE,0
150,Ciara O'Rourke,Former President Donald Trump issued an Oct. 27 statement saying he was told his Twitter account “will be back up and running on Monday.”,Viral image,"October 28, 2022",false,FAKE,0
151,Jon Greenberg,"The documentary “2,000 Mules proves” Democrats “cheated on the 2020 elections.”",Instagram posts,"October 28, 2022",false,FAKE,0
152,Ciara O'Rourke,A Phoenix TV station aired the election results more than a week early.,Instagram posts,"October 28, 2022",half-true,FAKE,0
153,Andy Nguyen,"Connecticut ballot initiative on early voting would ""remove the requirement of a certified seal from certain ballots.""",Facebook posts,"October 27, 2022",false,FAKE,0
154,Ciara O'Rourke,DJ Mighty Mouse died because of a COVID-19 booster vaccine.,Instagram posts,"October 27, 2022",false,FAKE,0
155,Ciara O'Rourke,Photo shows a man who tortured his daughter’s rapist.,Viral image,"October 27, 2022",false,FAKE,0
156,Ciara O'Rourke,“PCR tests used to put luciferase in the brain.”,Viral image,"October 27, 2022",false,FAKE,0
157,Tom Kertscher,"Catherine Cortez Masto ""was the deciding vote” to send COVID-19 stimulus checks to more than 1 million prisoners.",Club for Growth Action,"October 27, 2022",barely-true,FAKE,0
158,Jeff Cercone,Proposed Senate bill would give FDA power to approve dietary supplements and “ban herbs.”,Instagram posts,"October 27, 2022",false,FAKE,0
159,Ciara O'Rourke,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",Viral image,"October 27, 2022",false,FAKE,0
160,Ciara O'Rourke,The COVID-19 vaccine caused Katy Perry’s eye to close during a recent show.,Instagram posts,"October 27, 2022",false,FAKE,0
161,Madison Czopek,"“El CDC está a punto de agregar la vacuna Co vid al calendario de vacunación infantil, lo que haría que la vacunación sea obligatoria para que los niños asistan a la escuela”.",Instagram posts,"October 27, 2022",barely-true,FAKE,0
162,Michael Majchrowicz,"""Peer-reviewed paper"" shows ""Fauci created COVID-19""",Instagram posts,"October 27, 2022",pants-fire,FAKE,0
163,Emily Oiler,“Carol Miller is a multi-millionaire worth over $16 million.”,West Virginia Democratic Party,"October 27, 2022",mostly-true,FAKE,0
164,Andy Nguyen,Mailing in a ballot “gives the bad guys a chance to know how many ballots they need to make.”,Instagram posts,"October 27, 2022",pants-fire,FAKE,0
165,Luiz Romero,“Ukraine has a nuclear bomb primed in Mykolaiv.”,Instagram posts,"October 27, 2022",false,FAKE,0
166,Maria Ramirez,Adam Laxalt is “anti-DACA” and “fought against the protections for DACA recipients when he was attorney general.”,Catherine Cortez Masto,"• October 26,",half-true,FAKE,0
167,Madison Czopek,Ballots are “mailed unconstitutionally” to every voter in Colorado.,Instagram posts,"October 26, 2022",false,FAKE,0
168,Ciara O'Rourke,Video clips show staged war footage from Ukraine.,Viral image,"October 26, 2022",pants-fire,FAKE,0
169,Andy Nguyen,The Bill & Melinda Gates Foundation pledged $200 million for digital IDs as part of a shift toward a “totalitarian society.”,Dan Bongino,"October 26, 2022",false,FAKE,0
170,Jeff Cercone,Today’s high food prices were planned during a 2015 food shortage simulation.,Instagram posts,"October 26, 2022",pants-fire,FAKE,0
171,Gabrielle Settles,“Eagles fans shout F— Joe Biden while Jill Biden attends NFL game!”,Instagram posts,"October 26, 2022",pants-fire,FAKE,0
172,Ciara O'Rourke,A video shows that a “Nuremberg 2.0 crimes against humanity trial starts Jan 2023.”,Instagram posts,"October 25, 2022",false,FAKE,0
173,Yacob Reyes,"Val Demings ""voted with Pelosi to raise taxes over $4,000 on Florida families.""",Marco Rubio,"October 25, 2022",barely-true,FAKE,0
174,Paul Specht,Cheri Beasley was “encouraging (riots) all across our state and all across our country in 2020.”,Ted Budd,"October 25, 2022",false,FAKE,0
175,Amy Sherman,"In Arizona, early voting would allow Kari Lake’s opponents to see how many votes they “need to fake to catch up and surpass.”",Instagram posts,"October 25, 2022",pants-fire,FAKE,0
176,Louis Jacobson,Student loan forgiveness is “passed. I got it passed by a vote or two. And it’s in effect.”,Joe Biden,"October 25, 2022",false,FAKE,0
177,Ciara O'Rourke,Video shows paratroopers crashing in Uganda.,Instagram posts,"October 25, 2022",false,FAKE,0
178,Ciara O'Rourke,“Wikileaks releases moon landing cut scenes filmed in the Nevada desert.”,Viral image,"October 25, 2022",false,FAKE,0
179,Sara Swann,"“Nancy Pelosi (purchased) 10,000 shares of Amgen, manufacturer of Nplate, a drug used to treat radiation sickness.”",Instagram posts,"October 25, 2022",false,FAKE,0
180,Kristin Hugo,"""When electric cars get in accidents, they explode, they catch fire very very badly because of the lithium batteries.”",Instagram posts,"October 25, 2022",false,FAKE,0
181,Kristin Hugo,"For climate change environmentalists, “not a single one of their predictions ever come true.”",Charlie Kirk,"October 25, 2022",false,FAKE,0
182,Jessica Riley,"“More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, 'clean' garbage trucks, and studying cow farts.""",Citizens Against Government Waste,"October 25, 2022",barely-true,FAKE,0
183,Andy Nguyen,The diphtheria vaccine is a “poison dart” with side effects worse than the symptoms of diphtheria.,Instagram posts,"October 24, 2022",false,FAKE,0
184,Jeff Cercone,Bodybuilder died from the COVID-19 vaccine.,Instagram posts,"October 24, 2022",false,FAKE,0
185,Ciara O'Rourke,"A chyron on Sean Hannity’s show said, “Dr Oz admits he’s a medical quack.”",Viral image,"October 24, 2022",pants-fire,FAKE,0
186,Ciara O'Rourke,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,Viral image,"October 24, 2022",false,FAKE,0
187,Paul Specht,Ted Budd “on four separate occasions voted against funding for police here in North Carolina to the tune of more than $32 million.”,Cheri Beasley,"October 24, 2022",barely-true,FAKE,0
188,Ciara O'Rourke,There are no photos of “Biden in the Oval Office” from after early 2021.,Viral image,"October 24, 2022",pants-fire,FAKE,0
